National_Forest,Year,Quarter,Product,Species,Sold_Volume_MBF,Sold_Volume_CCF,Sold_Value,Sold_per_MBF,Sold_per_CCF,Cut_Volume_MBF,Cut_Volume_CCF,Cut_Value
Deschutes,2010.00,1.00,Sawtimber,Incense cedar,0.00,0.00,0.00,0.00,0.00,12.86,30.00,1203.60
Deschutes,2010.00,1.00,Sawtimber,Lodgepole pine,28.90,58.54,1170.80,40.51,20.00,2852.70,5854.11,185347.50
Deschutes,2010.00,1.00,Sawtimber,Ponderosa Pine,0.00,0.00,0.00,0.00,0.00,2094.39,4378.61,94635.43
Deschutes,2010.00,1.00,Sawtimber,White fir,0.00,0.00,0.00,0.00,0.00,492.00,1003.66,27096.37
Deschutes,2010.00,1.00,Sawtimber,Western white pine,0.00,0.00,0.00,0.00,0.00,5.01,8.78,195.70
Deschutes,2010.00,1.00,Poles,Lodgepole pine,49.28,89.60,1190.00,24.15,13.28,26.40,48.00,470.00
Deschutes,2010.00,1.00,Poles,Softwood Other,24.84,8.80,220.00,45.45,25.00,4.84,8.80,220.00
Fremont-Winema,2010.00,1.00,Sawtimber,Douglas-fir,0.00,0.00,0.00,0.00,0.00,153.92,300.78,1687.80
Fremont-Winema,2010.00,1.00,Sawtimber,Lodgepole pine,0.00,0.00,0.00,0.00,0.00,6167.41,12325.67,200057.44
Fremont-Winema,2010.00,1.00,Sawtimber,Ponderosa Pine,0.00,0.00,0.00,0.00,0.00,6406.12,13039.67,201630.04
Fremont-Winema,2010.00,1.00,Sawtimber,White fir,8564.51,17370.82,578089.75,67.50,33.28,5279.91,10691.82,45410.92
Fremont-Winema,2010.00,1.00,Poles,Lodgepole pine,74.32,142.95,732.39,9.85,5.12,53.77,103.42,530.55
Fremont-Winema,2010.00,1.00,Posts,Juniper,105.82,203.50,34.00,0.32,0.17,106.60,205.00,40.00
Fremont-Winema,2010.00,1.00,Posts,Lodgepole pine,86.71,166.75,667.00,7.69,4.00,25.35,48.75,195.00
Gifford Pinchot,2010.00,1.00,Sawtimber,Douglas-fir,0.00,0.00,0.00,0.00,0.00,8102.48,15192.04,282717.39
Gifford Pinchot,2010.00,1.00,Sawtimber,Western hemlock,0.00,0.00,0.00,0.00,0.00,22.26,44.64,446.40
Gifford Pinchot,2010.00,1.00,Sawtimber,Pacific silver fir,0.00,0.00,0.00,0.00,0.00,757.52,1448.42,14788.37
Gifford Pinchot,2010.00,1.00,Poles,Softwood Other,0.78,1.50,50.00,64.10,33.33,2.81,5.40,180.00
Gifford Pinchot,2010.00,1.00,Posts,Western red cedar,1.95,3.75,150.00,76.92,40.00,1.95,3.75,150.00
Gifford Pinchot,2010.00,1.00,Posts,Softwood Other,0.26,0.50,20.00,76.92,40.00,0.26,0.50,20.00
Malheur,2010.00,1.00,Sawtimber,Douglas-fir,9.88,19.00,160.36,16.23,8.44,295.61,568.75,2358.75
Malheur,2010.00,1.00,Sawtimber,Lodgepole pine,0.00,0.00,0.00,0.00,0.00,5.72,11.00,11.00
Malheur,2010.00,1.00,Sawtimber,Ponderosa Pine,39.52,76.00,1507.84,38.15,19.84,1880.96,3617.23,8377.45
Malheur,2010.00,1.00,Sawtimber,White fir,0.00,0.00,0.00,0.00,0.00,261.70,502.99,2227.78
